Column Name,Canonical Name,Total Count,Variations Found,Excel Row Numbers,Traceback (Brand Code)
Brand Name,Jozi,2,jozzi | Jozi,"2, 11","11021396, 11033046"
Brand Name,Johnwalting,2,Johnwalting | Jonwalting,"10, 12",11021396
Brand Name,Joklakrap Brennivin,1,Joklakrap Brennivin,3,11049124
Brand Name,Jon Mark And Robbos,1,Jon Mark And Robbos,4,11015776
Brand Name,John Ross,1,John Ross,5,11026689
Brand Name,John Black,1,John Black,6,11002745
Brand Name,Johvikaviin,1,Johvikaviin,7,11049035
Brand Name,JM Aged Rum,1,JM Aged Rum,8,11039690
Brand Name,John Watling's,1,John Watling's,9,11021396
